DroneID,PosX,PosY,PosZ,VelX,VelY,VelZ,ThrustZ
0,0.03,-0.07,9.80,0.33,-0.69,-1.96,-11.77
1,2.59,-0.08,9.80,0.87,-0.76,-1.96,-11.77
2,5.08,0.01,9.80,0.79,0.07,-1.96,-11.77
3,0.02,2.55,9.80,0.17,0.54,-1.96,-11.77
4,2.67,2.55,9.80,1.68,0.51,-1.96,-11.77
0,0.17,-0.11,9.62,1.36,-0.41,-1.84,-10.36
1,2.73,-0.20,9.62,1.39,-1.19,-1.84,-10.36
2,5.29,0.02,9.62,2.07,0.14,-1.84,-10.36
3,0.07,2.63,9.62,0.53,0.78,-1.84,-10.36
4,2.94,2.62,9.62,2.77,0.73,-1.84,-10.36
0,0.30,-0.14,9.45,1.30,-0.27,-1.73,-9.03
1,2.90,-0.34,9.45,1.79,-1.46,-1.73,-9.03
2,5.49,0.04,9.45,2.07,0.18,-1.73,-9.03
3,0.16,2.72,9.45,0.88,0.90,-1.73,-9.03
4,3.30,2.70,9.45,3.51,0.80,-1.73,-9.03
0,0.44,-0.14,9.28,1.40,-0.05,-1.63,-7.78
1,3.11,-0.50,9.28,2.06,-1.63,-1.63,-7.78
2,5.82,0.02,9.28,3.30,-0.18,-1.63,-7.78
3,0.30,2.84,9.28,1.48,1.14,-1.63,-7.78
4,3.68,2.73,9.28,3.88,0.29,-1.63,-7.78
0,0.66,-0.20,9.13,2.24,-0.54,-1.53,-6.61
1,3.28,-0.62,9.13,1.66,-1.15,-1.53,-6.61
2,6.21,-0.01,9.13,3.92,-0.33,-1.53,-6.61
3,0.48,2.94,9.13,1.71,1.05,-1.53,-6.61
4,4.10,2.77,9.13,4.16,0.41,-1.53,-6.61
0,0.95,-0.28,8.99,2.87,-0.84,-1.44,-5.51
1,3.42,-0.76,8.99,1.45,-1.39,-1.44,-5.51
2,6.59,-0.07,8.99,3.70,-0.54,-1.44,-5.51
3,0.73,3.03,8.99,2.50,0.91,-1.44,-5.51
4,4.46,2.87,8.99,3.58,0.94,-1.44,-5.51
0,1.18,-0.32,8.85,2.35,-0.36,-1.35,-4.47
1,3.69,-0.86,8.85,2.64,-0.97,-1.35,-4.47
2,6.96,-0.07,8.85,3.70,-0.09,-1.35,-4.47
3,1.01,3.12,8.85,2.86,0.89,-1.35,-4.47
4,4.79,2.89,8.85,3.32,0.25,-1.35,-4.47
0,1.41,-0.37,8.72,2.23,-0.48,-1.27,-3.50
1,3.99,-0.93,8.72,3.09,-0.79,-1.27,-3.50
2,7.33,-0.06,8.72,3.75,0.15,-1.27,-3.50
3,1.34,3.19,8.72,3.32,0.70,-1.27,-3.50
4,5.11,2.89,8.72,3.18,-0.06,-1.27,-3.50
0,1.69,-0.38,8.60,2.85,-0.11,-1.20,-2.58
1,4.33,-1.00,8.60,3.40,-0.66,-1.20,-2.58
2,7.71,-0.03,8.60,3.76,0.31,-1.20,-2.58
3,1.69,3.19,8.60,3.48,0.04,-1.20,-2.58
4,5.41,2.83,8.60,3.01,-0.58,-1.20,-2.58
0,1.95,-0.35,8.49,2.63,0.30,-1.12,-1.72
1,4.74,-1.03,8.49,4.11,-0.28,-1.12,-1.72
2,8.04,-0.00,8.49,3.30,0.25,-1.12,-1.72
3,2.05,3.15,8.49,3.60,-0.44,-1.12,-1.72
4,5.70,2.73,8.49,2.90,-0.94,-1.12,-1.72
0,2.21,-0.35,8.39,2.51,-0.04,-1.06,-0.91
1,5.15,-1.06,8.39,4.04,-0.31,-1.06,-0.91
2,8.39,0.04,8.39,3.55,0.38,-1.06,-0.91
3,2.44,3.07,8.39,3.87,-0.76,-1.06,-0.91
4,5.97,2.63,8.39,2.77,-1.02,-1.06,-0.91
0,2.45,-0.38,8.29,2.46,-0.30,-0.99,-0.15
1,5.54,-1.08,8.29,3.87,-0.22,-0.99,-0.15
2,8.75,0.09,8.29,3.55,0.54,-0.99,-0.15
3,2.83,3.04,8.29,3.91,-0.40,-0.99,-0.15
4,6.24,2.51,8.29,2.68,-1.18,-0.99,-0.15
0,2.69,-0.43,8.19,2.43,-0.48,-0.93,0.57
1,5.91,-1.10,8.19,3.72,-0.15,-0.93,0.57
2,9.11,0.15,8.19,3.63,0.60,-0.93,0.57
3,3.18,3.02,8.19,3.52,-0.13,-0.93,0.57
4,6.48,2.42,8.19,2.35,-0.93,-0.93,0.57
0,2.94,-0.49,8.11,2.42,-0.60,-0.88,1.24
1,6.31,-1.09,8.11,4.05,0.09,-0.88,1.24
2,9.51,0.18,8.11,4.02,0.29,-0.88,1.24
3,3.55,3.03,8.11,3.68,0.09,-0.88,1.24
4,6.79,2.31,8.11,3.11,-1.12,-0.88,1.24
0,3.19,-0.50,8.02,2.55,-0.10,-0.83,1.87
1,6.68,-1.14,8.02,3.71,-0.51,-0.83,1.87
2,9.96,0.19,8.02,4.53,0.12,-0.83,1.87
3,3.88,2.99,8.02,3.28,-0.37,-0.83,1.87
4,7.16,2.24,8.02,3.75,-0.68,-0.83,1.87
0,3.51,-0.48,7.95,3.14,0.15,-0.78,2.47
1,7.05,-1.15,7.95,3.63,-0.08,-0.78,2.47
2,10.35,0.16,7.95,3.85,-0.26,-0.78,2.47
3,4.18,2.92,7.95,3.02,-0.69,-0.78,2.47
4,7.53,2.23,7.95,3.66,-0.13,-0.78,2.47
0,3.85,-0.52,7.87,3.42,-0.36,-0.73,3.02
1,7.39,-1.17,7.87,3.38,-0.28,-0.73,3.02
2,10.72,0.12,7.87,3.73,-0.47,-0.73,3.02
3,4.48,2.89,7.87,2.97,-0.32,-0.73,3.02
4,7.84,2.26,7.87,3.09,0.36,-0.73,3.02
0,4.23,-0.53,7.80,3.83,-0.14,-0.69,3.55
1,7.71,-1.16,7.80,3.28,0.11,-0.69,3.55
2,11.04,0.08,7.80,3.14,-0.35,-0.69,3.55
3,4.77,2.88,7.80,2.92,-0.09,-0.69,3.55
4,8.20,2.29,7.80,3.57,0.28,-0.69,3.55
0,4.63,-0.58,7.74,4.02,-0.48,-0.64,4.04
1,8.03,-1.18,7.74,3.14,-0.11,-0.64,4.04
2,11.30,0.07,7.74,2.65,-0.18,-0.64,4.04
3,5.05,2.84,7.74,2.79,-0.42,-0.64,4.04
4,8.59,2.31,7.74,3.98,0.15,-0.64,4.04
0,5.05,-0.60,7.68,4.15,-0.19,-0.61,4.51
1,8.35,-1.14,7.68,3.21,0.32,-0.61,4.51
2,11.57,0.05,7.68,2.69,-0.12,-0.61,4.51
3,5.38,2.81,7.68,3.37,-0.26,-0.61,4.51
4,8.95,2.26,7.68,3.56,-0.47,-0.61,4.51
0,5.46,-0.65,7.62,4.17,-0.51,-0.57,4.94
1,8.66,-1.17,7.62,3.12,-0.28,-0.57,4.94
2,11.89,0.06,7.62,3.18,0.06,-0.57,4.94
3,5.75,2.81,7.62,3.67,-0.05,-0.57,4.94
4,9.24,2.22,7.62,2.94,-0.44,-0.57,4.94
